127.0.0.1 - - [16/Jul/2018:17:05:58 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [16/Jul/2018:17:06:05 +0530] "GET /studentApp/ HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [16/Jul/2018:17:06:06 +0530] "GET /studentApp/header.html HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [16/Jul/2018:17:06:06 +0530] "GET /studentApp/menu.html HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [16/Jul/2018:17:06:06 +0530] "GET /studentApp/welcome.html HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [16/Jul/2018:17:06:06 +0530] "GET /studentApp/footer.html HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [16/Jul/2018:17:06:41 +0530] "GET /studentApp/layout.html HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [16/Jul/2018:17:06:42 +0530] "GET /studentApp/header.html HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [16/Jul/2018:17:06:42 +0530] "GET /studentApp/menu.html HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [16/Jul/2018:17:06:42 +0530] "GET /studentApp/welcome.html HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [16/Jul/2018:17:06:42 +0530] "GET /studentApp/footer.html HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [16/Jul/2018:17:06:43 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [16/Jul/2018:17:07:57 +0530] "GET /studentApp/layout.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2018:17:09:57 +0530] "GET /studentApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2018:17:09:57 +0530] "GET /studentApp/header.html HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [16/Jul/2018:17:09:57 +0530] "GET /studentApp/menu.html HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [16/Jul/2018:17:09:57 +0530] "GET /studentApp/welcome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2018:17:09:57 +0530] "GET /studentApp/footer.html HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [16/Jul/2018:17:10:14 +0530] "GET /studentApp/layout.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2018:17:10:15 +0530] "GET /studentApp/header.html HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [16/Jul/2018:17:10:15 +0530] "GET /studentApp/welcome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2018:17:10:15 +0530] "GET /studentApp/footer.html HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [16/Jul/2018:17:10:15 +0530] "GET /studentApp/menu.html HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [16/Jul/2018:17:10:30 +0530] "GET /studentApp/addform.html HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [16/Jul/2018:17:10:33 +0530] "GET /studentApp/searchform.html HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [16/Jul/2018:17:10:34 +0530] "GET /studentApp/updateform.html HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [16/Jul/2018:17:10:35 +0530] "GET /studentApp/deleteform.html HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [16/Jul/2018:17:10:44 +0530] "GET /studentApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2018:17:10:44 +0530] "GET /studentApp/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2018:17:10:44 +0530] "GET /studentApp/menu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2018:17:10:44 +0530] "GET /studentApp/welcome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2018:17:10:44 +0530] "GET /studentApp/footer.html HTTP/1.1" 304 -
